alternative design flag set to: false
ws1 done making product #292 in 6.2030662s
ws1 done making product #293 in 1.947209633s
ws1 done making product #294 in 12.833031312s
ws1 done making product #295 in 5.828135445s
ws1 done making product #296 in 19.497030599s
ws1 done making product #297 in 4.17108194s
ws1 done making product #298 in 14.428169646s
ws1 done making product #299 in 5.062085555s
ws1 done making product #300 in 12.416082618s
ws3 done making product #4 in 8m20.13620963s
ws3 done making product #5 in 16.193125025s
ws3 done making product #6 in 4.38410058s
ws2 done making product #4 in 6m40.567724434s
ws2 done making product #5 in 1.872180562s
ws3 done making product #7 in 26.562374187s
ws3 done making product #8 in 58.605445695s
ws2 done making product #6 in 1m39.797212001s
ws2 done making product #7 in 23.501143579s
ws2 done making product #8 in 9.572178374s
ws2 done making product #9 in 21.573002178s
ws2 done making product #10 in 1.449122975s
ws2 done making product #11 in 16.508099494s
ws3 done making product #9 in 3m19.450896543s
ws2 done making product #12 in 2m3.101213432s
ws2 done making product #13 in 1m49.746178839s
ws3 done making product #10 in 2m22.688217023s
ws3 done making product #11 in 1m24.27009693s
ws2 done making product #14 in 2m3.652119262s
ws2 done making product #15 in 18.888118154s
ws2 done making product #16 in 7.120096568s
ws2 done making product #17 in 14.32837101s
ws3 done making product #12 in 2m42.111888372s
ws3 done making product #13 in 1m47.868044742s
ws3 done making product #14 in 1m45.787049514s
ws2 done making product #18 in 5m24.875363062s
ws2 done making product #19 in 16.558141628s
ws2 done making product #20 in 12.100992339s
ws2 done making product #21 in 52.910138219s
ws2 done making product #22 in 3.767121649s
ws3 done making product #15 in 3m3.872590508s
ws3 done making product #16 in 1m32.276061797s
ws2 done making product #23 in 3m15.336196385s
ws3 done making product #17 in 1m51.435263282s
ws2 done making product #24 in 1m57.789247679s
ws3 done making product #18 in 2m42.371158943s
ws3 done making product #19 in 57.477086585s
ws3 done making product #20 in 1m47.331073465s
ws3 done making product #21 in 1m39.640052064s
ws2 done making product #25 in 6m59.375590178s
ws2 done making product #26 in 23.688041088s
ws3 done making product #22 in 2m16.61444008s
ws3 done making product #23 in 1m39.112997371s
ws3 done making product #24 in 2m1.939172731s
ws2 done making product #27 in 5m25.12061374s
ws2 done making product #28 in 2.791125221s
ws2 done making product #29 in 21.643007058s
ws3 done making product #25 in 2m12.188492255s
ws3 done making product #26 in 1m35.531988716s
ws2 done making product #30 in 3m35.198192393s
ws2 done making product #31 in 13.462032164s
ws2 done making product #32 in 1m57.947336383s
ws3 done making product #27 in 2m30.416332551s
ws2 done making product #33 in 1m57.386071625s
ws3 done making product #28 in 2m5.059266904s
ws3 done making product #29 in 1m32.492022967s
ws3 done making product #30 in 1m46.308211416s
ws2 done making product #34 in 3m39.354693829s
ws2 done making product #35 in 34.00188687s
ws3 done making product #31 in 2m20.066411584s
ws3 done making product #32 in 1m37.14909018s
ws2 done making product #36 in 3m23.86921226s
ws3 done making product #33 in 1m53.842192079s
ws3 done making product #34 in 1m51.990008033s
ws2 done making product #37 in 3m48.414369779s
ws3 done making product #35 in 1m42.547257211s
ws2 done making product #38 in 1m43.96118112s
ws3 done making product #36 in 2m13.794205144s
ws3 done making product #37 in 1m31.658089308s
ws2 done making product #39 in 4m11.303334184s
ws3 done making product #38 in 2m8.678213866s
ws2 done making product #40 in 3m10.036342827s
ws3 done making product #39 in 1m43.013111879s
ws3 done making product #40 in 1m40.970183237s
ws2 done making product #41 in 2m5.233157621s
ws3 done making product #41 in 2m4.137120737s
ws2 done making product #42 in 2m29.296292178s
ws2 done making product #43 in 9.87817491s
ws2 done making product #44 in 7.949109138s
ws3 done making product #42 in 2m19.634372305s
ws3 done making product #43 in 1m42.620114924s
ws2 done making product #45 in 3m25.959059618s
ws3 done making product #44 in 2m4.162274966s
ws2 done making product #46 in 2m20.086184119s
ws3 done making product #45 in 2m9.294149474s
ws2 done making product #47 in 1m35.503200814s
